block,stimulus,response,score,rt,name
3,evil,l,1,505,p93
3,bad,l,1,517,p93
3,black2,l,1,853,p93
3,joy,a,1,566,p93
3,white2,a,1,750,p93
3,white5,a,1,577,p93
3,hurt,l,1,789,p93
3,white1,a,1,687,p93
3,black3,l,1,542,p93
3,love,a,1,442,p93
3,black5,l,1,567,p93
3,agony,l,1,596,p93
3,white4,a,1,559,p93
3,good,a,1,450,p93
3,pleasure,a,1,503,p93
3,black4,l,1,535,p93
3,nasty,a,0,575,p93
4,white1,l,1,677,p93
4,white5,l,1,504,p93
4,black2,a,1,762,p93
4,black3,a,1,628,p93
4,white2,l,1,477,p93
4,white3,l,1,476,p93
4,black4,a,1,478,p93
4,black1,a,1,466,p93
4,black5,a,1,548,p93
4,white4,l,1,501,p93
5,black1,a,1,663,p93
5,evil,l,1,502,p93
5,pleasure,a,1,586,p93
5,happy,a,1,582,p93
5,nasty,l,1,704,p93
5,hurt,l,1,446,p93
5,love,a,1,510,p93
5,good,a,1,503,p93
5,agony,l,1,473,p93
5,bad,l,1,471,p93
5,joy,a,1,543,p93
5,white1,l,1,771,p93
5,white3,l,1,442,p93
5,white5,l,1,454,p93
5,black4,a,1,514,p93
5,black3,a,1,460,p93
5,black2,a,1,439,p93
5,black5,a,1,474,p93
5,white2,l,1,513,p93
5,white4,l,1,492,p93
1,happy,a,1,626,p94
1,good,a,1,530,p94
1,pleasure,a,1,512,p94
1,bad,l,1,540,p94
1,evil,l,1,401,p94
1,hurt,l,1,507,p94
1,love,a,1,369,p94
1,joy,a,1,460,p94
1,nasty,l,1,465,p94
1,agony,l,1,522,p94
2,black5,l,1,819,p94
2,black1,l,1,667,p94
2,black2,l,1,1153,p94
2,white4,a,1,677,p94
2,white3,a,1,691,p94
2,white2,a,1,699,p94
2,black3,l,1,566,p94
2,black4,l,1,604,p94
2,white1,a,1,549,p94
2,white5,a,1,682,p94
3,happy,a,1,1085,p94
3,white5,a,1,914,p94
3,pleasure,a,1,967,p94
3,white2,a,1,826,p94
3,love,a,1,595,p94
3,agony,l,1,565,p94
3,white4,a,1,1088,p94
3,joy,a,1,534,p94
3,black1,l,1,658,p94
3,bad,l,1,762,p94
3,black4,l,1,780,p94
3,white1,a,1,760,p94
3,black5,l,1,658,p94
3,black2,l,1,795,p94
3,white3,a,1,741,p94
3,evil,l,1,521,p94
3,good,a,1,751,p94
3,hurt,l,1,610,p94
3,black3,l,1,867,p94
3,nasty,l,1,738,p94
4,black3,a,1,762,p94
4,white3,l,1,750,p94
4,white4,l,1,506,p94
4,black2,a,1,534,p94
4,black5,a,1,451,p94
4,black1,a,1,507,p94
4,white1,l,1,489,p94
4,black4,a,1,453,p94
4,white2,l,1,607,p94
4,white5,l,1,745,p94
5,pleasure,a,1,660,p94
5,joy,a,1,483,p94
5,nasty,l,1,515,p94
5,bad,l,1,416,p94
5,love,a,1,496,p94
5,good,a,1,432,p94
5,white1,l,1,576,p94
5,black4,a,1,547,p94
5,white5,l,1,512,p94
5,agony,l,1,636,p94
5,white2,l,1,604,p94
5,black3,a,1,468,p94
5,hurt,l,1,669,p94
5,happy,a,1,516,p94
5,black2,a,1,578,p94
5,white3,l,1,548,p94
5,black1,a,1,465,p94
5,white4,l,1,800,p94
5,evil,l,1,578,p94
5,black5,a,1,589,p94
1,evil,l,1,1305,p95
1,nasty,l,1,726,p95
1,good,a,1,490,p95
1,bad,l,1,615,p95
1,hurt,l,1,609,p95
1,love,a,1,533,p95
1,joy,a,1,575,p95
1,agony,l,1,501,p95
1,pleasure,a,1,616,p95
1,happy,a,1,476,p95
2,white3,a,1,784,p95
2,black2,a,0,451,p95
2,white5,a,1,892,p95
2,black1,l,1,490,p95
2,white2,a,1,681,p95
2,white1,a,1,631,p95
2,black3,l,1,559,p95
2,black4,l,1,547,p95
2,white4,a,1,584,p95
2,black5,l,1,931,p95
3,black3,l,1,829,p95
3,agony,l,1,549,p95
3,black4,l,1,705,p95
3,white5,a,1,602,p95
3,black5,l,1,561,p95
3,white4,a,1,691,p95
3,pleasure,a,1,817,p95
3,happy,a,1,602,p95
3,evil,l,1,563,p95
3,love,a,1,536,p95
3,white3,a,1,658,p95
3,nasty,l,1,659,p95
3,white1,a,1,489,p95
3,good,a,1,632,p95
3,white2,a,1,624,p95
3,black1,l,1,532,p95
3,hurt,l,1,694,p95
3,bad,l,1,507,p95
3,black2,l,1,827,p95
3,joy,a,1,541,p95
4,white1,l,1,657,p95
4,white3,l,1,393,p95
4,black3,a,1,307,p95
4,white4,l,1,541,p95
4,white2,l,1,658,p95
4,black4,a,1,428,p95
4,black2,a,1,861,p95
4,white5,l,1,492,p95
4,black1,a,1,587,p95
4,black5,a,1,591,p95
5,white1,l,1,795,p95
5,pleasure,a,1,1115,p95
5,nasty,l,1,681,p95
5,black1,a,1,727,p95
5,joy,a,1,621,p95
5,agony,l,1,436,p95
5,hurt,l,1,646,p95
5,evil,l,1,701,p95
5,black5,a,1,548,p95
5,happy,a,1,654,p95
5,bad,l,1,679,p95
5,love,a,1,549,p95
5,good,a,1,666,p95
5,black2,a,1,890,p95
5,black3,a,1,581,p95
5,white3,l,1,586,p95
5,white2,l,1,618,p95
5,black4,a,1,596,p95
5,white5,l,1,652,p95
5,white4,l,1,702,p95
1,pleasure,a,1,16518,p96
1,hurt,l,1,2805,p96
1,happy,a,1,2501,p96
1,joy,a,1,1418,p96
1,bad,l,1,2563,p96
1,nasty,l,1,1771,p96
1,evil,l,1,1519,p96
1,love,a,1,1394,p96
1,agony,l,1,2171,p96
1,good,a,1,1275,p96
2,black1,l,1,4111,p96
2,black2,l,1,1772,p96
2,black5,l,1,1703,p96
2,white5,l,0,8877,p96
2,black4,l,1,2083,p96
2,white3,a,1,2578,p96
2,white4,a,1,5376,p96
2,white1,l,0,3610,p96
2,white2,l,0,6632,p96
2,black3,l,1,1501,p96
3,black5,l,1,1696,p96
3,pleasure,a,1,1772,p96
3,happy,a,1,2759,p96
3,white3,a,1,3513,p96
3,joy,a,1,1205,p96
3,bad,l,1,1814,p96
3,black1,l,1,3606,p96
3,good,a,1,1454,p96
3,love,a,1,1613,p96
3,evil,l,1,1702,p96
3,black3,l,1,1722,p96
3,white2,a,1,6157,p96
3,black2,l,1,1659,p96
3,hurt,l,1,1628,p96
3,white1,a,1,3636,p96
3,white5,a,1,2330,p96
3,white4,a,1,2254,p96
3,agony,l,1,2753,p96
3,nasty,l,1,1445,p96
3,black4,l,1,1285,p96
4,white2,l,1,2408,p96
4,black3,a,1,1985,p96
4,white5,l,1,2723,p96
4,black2,a,1,1117,p96
4,black4,a,1,1314,p96
4,white3,l,1,2550,p96
4,black1,a,1,1161,p96
4,white1,l,1,2116,p96
4,white4,a,0,1225,p96
4,black5,a,1,2930,p96
5,hurt,l,1,4036,p96
5,nasty,l,1,1135,p96
5,black4,a,1,1333,p96
5,agony,l,1,2465,p96
5,evil,l,1,1294,p96
5,love,a,1,1795,p96
5,black1,a,1,1477,p96
5,pleasure,a,1,1659,p96
5,white1,l,1,2066,p96
5,joy,a,1,1326,p96
5,black5,a,1,2513,p96
5,white2,l,1,2622,p96
5,black3,a,1,1222,p96
5,white5,l,1,1568,p96
5,white3,l,1,2377,p96
5,black2,a,1,1020,p96
5,bad,l,1,3900,p96
5,happy,a,1,943,p96
5,white4,l,1,1819,p96
5,good,a,1,1276,p96
1,love,a,1,8310,p97
1,good,a,1,4626,p97
1,agony,l,1,2722,p97
1,evil,l,1,1588,p97
1,pleasure,a,1,2045,p97
1,hurt,l,1,1461,p97
1,bad,l,1,1447,p97
1,happy,a,1,1211,p97
1,joy,a,1,1362,p97
1,nasty,l,1,4880,p97
2,white4,l,0,5508,p97
2,white1,a,1,4892,p97
2,black1,l,1,5386,p97
2,black2,l,1,5317,p97
2,white5,a,1,6073,p97
2,white2,a,1,1827,p97
2,white3,a,1,2284,p97
2,black4,l,1,1119,p97
2,black5,l,1,1548,p97
2,black3,l,1,1486,p97
3,white1,a,1,5879,p97
3,nasty,a,0,7944,p97
3,happy,a,1,6347,p97
3,black5,l,1,5065,p97
3,joy,a,1,3448,p97
3,bad,l,1,4205,p97
3,white2,a,1,4949,p97
3,white5,a,1,2676,p97
3,agony,l,1,3816,p97
3,love,a,1,2296,p97
3,black4,l,1,1684,p97
3,hurt,l,1,1870,p97
3,white3,a,1,1601,p97
3,black1,l,1,2176,p97
3,white4,a,1,2411,p97
3,good,a,1,2939,p97
3,black3,l,1,1525,p97
3,black2,l,1,1176,p97
3,pleasure,a,1,1618,p97
3,evil,l,1,1505,p97
4,white5,l,1,2764,p97
4,black4,l,0,2910,p97
4,white3,a,0,5436,p97
4,black1,l,0,6695,p97
4,white4,a,0,2536,p97
4,black2,a,1,4498,p97
4,white1,a,0,3784,p97
4,black3,a,1,1405,p97
4,white2,l,1,880,p97
4,black5,a,1,4218,p97
5,agony,l,1,5969,p97
5,good,a,1,3194,p97
5,bad,l,1,3546,p97
5,black2,a,1,6787,p97
5,black5,a,1,3752,p97
5,evil,l,1,1602,p97
5,white1,l,1,2745,p97
5,white5,l,1,1820,p97
5,pleasure,a,1,1957,p97
5,black4,a,1,2315,p97
5,love,a,1,1897,p97
5,joy,a,1,2161,p97
5,happy,a,1,5187,p97
5,hurt,a,0,5568,p97
5,white3,l,1,4192,p97
5,white4,l,1,3503,p97
5,nasty,l,1,2318,p97
5,white2,l,1,6326,p97
5,black1,a,1,4456,p97
5,black3,a,1,1202,p97
1,nasty,l,1,6063,p98
1,good,a,1,1320,p98
1,pleasure,a,1,2093,p98
1,evil,l,1,970,p98
1,hurt,l,1,1044,p98
1,joy,a,1,1821,p98
1,love,a,1,830,p98
1,bad,l,1,773,p98
1,happy,a,1,845,p98
1,agony,l,1,1100,p98
2,white2,a,1,1957,p98
2,white5,a,1,2830,p98
2,white1,a,1,2494,p98
2,black4,l,1,928,p98
2,black2,l,1,1175,p98
2,black5,l,1,745,p98
2,black1,l,1,724,p98
2,white3,a,1,883,p98
2,white4,a,1,1128,p98
2,black3,l,1,749,p98
3,joy,a,1,3058,p98
3,white3,a,1,4976,p98
3,black4,l,1,5079,p98
3,evil,l,1,6187,p98
3,hurt,l,1,6704,p98
3,white4,a,1,3450,p98
3,black1,l,1,855,p98
3,black5,l,1,1029,p98
3,nasty,l,1,976,p98
3,love,a,1,1273,p98
3,black2,l,1,1168,p98
3,white5,a,1,1049,p98
3,good,a,1,3200,p98
3,white2,a,1,1123,p98
3,bad,l,1,1167,p98
3,happy,a,1,647,p98
3,pleasure,a,1,960,p98
3,white1,a,1,1235,p98
3,agony,l,1,755,p98
3,black3,l,1,735,p98
4,black5,a,1,1004,p98
4,white4,l,1,919,p98
4,black3,a,1,969,p98
4,black2,a,1,621,p98
4,black4,a,1,586,p98
4,black1,a,1,451,p98
4,white1,l,1,879,p98
4,white5,l,1,670,p98
4,white3,l,1,566,p98
4,white2,l,1,704,p98
5,white5,l,1,1863,p98
5,agony,l,1,2197,p98
5,bad,l,1,1798,p98
5,black4,a,1,1005,p98
5,pleasure,a,1,2839,p98
5,white4,l,1,1165,p98
5,black2,a,1,1085,p98
5,evil,l,1,1474,p98
5,black5,a,1,1354,p98
5,white3,l,1,1255,p98
5,joy,a,1,3053,p98
5,white2,l,1,1300,p98
5,love,a,1,1089,p98
5,nasty,l,1,1236,p98
5,black1,a,1,1022,p98
5,happy,a,1,944,p98
5,black3,a,1,903,p98
5,hurt,l,1,1408,p98
5,good,a,1,857,p98
5,white1,l,1,983,p98
1,joy,a,1,7366,p99
1,love,a,1,1396,p99
1,pleasure,a,1,2173,p99
1,evil,l,1,1625,p99
1,bad,l,1,1677,p99
1,happy,a,1,1006,p99
1,agony,l,1,1073,p99
1,nasty,l,1,1701,p99
1,hurt,l,1,2129,p99
1,good,a,1,907,p99
2,white1,a,1,4367,p99
2,black4,l,1,1785,p99
2,white2,a,1,1886,p99
2,black3,l,1,2060,p99
2,white4,a,1,2481,p99
2,white5,a,1,2199,p99
2,black5,l,1,1414,p99
2,black1,l,1,1264,p99
2,black2,l,1,974,p99
2,white3,a,1,2896,p99
3,white5,l,0,6095,p99
3,nasty,l,1,9600,p99
3,black4,l,1,4249,p99
3,bad,l,1,2681,p99
3,black3,l,1,5229,p99
3,white3,a,1,4994,p99
3,good,a,1,5039,p99
3,white1,l,0,3078,p99
3,black2,l,1,5600,p99
3,black5,l,1,2423,p99
3,agony,l,1,1672,p99
3,pleasure,a,1,1700,p99
3,white4,l,0,3458,p99
3,love,a,1,1033,p99
3,black1,l,1,1551,p99
3,hurt,l,1,1530,p99
3,evil,l,1,2398,p99
3,white2,a,1,4622,p99
3,joy,a,1,1414,p99
3,happy,a,1,837,p99
4,white1,l,1,8271,p99
4,black4,a,1,1194,p99
4,black1,a,1,1133,p99
4,black2,a,1,2173,p99
4,white4,l,1,2627,p99
4,white3,l,1,1141,p99
4,white2,l,1,560,p99
4,white5,l,1,1100,p99
4,black5,a,1,1150,p99
4,black3,a,1,849,p99
5,black5,a,1,1426,p99
5,black2,a,1,745,p99
5,white5,l,1,830,p99
5,black3,a,1,765,p99
5,hurt,l,1,2771,p99
5,white1,l,1,2363,p99
5,nasty,l,1,1230,p99
5,bad,l,1,645,p99
5,agony,l,1,926,p99
5,white3,a,0,4803,p99
5,evil,l,1,3505,p99
5,white4,l,1,1163,p99
5,pleasure,a,1,2382,p99
5,happy,a,1,718,p99
5,black1,a,1,1414,p99
5,love,a,1,2926,p99
5,joy,a,1,1343,p99
5,good,a,1,692,p99
5,white2,l,1,2019,p99
5,black4,a,1,1025,p99
1,bad,l,1,2710,p100
1,hurt,l,1,4594,p100
1,good,a,1,976,p100
1,agony,l,1,946,p100
1,pleasure,a,1,799,p100
1,joy,a,1,761,p100
1,love,a,1,1212,p100
1,evil,l,1,724,p100
1,happy,a,1,682,p100
1,nasty,l,1,832,p100
2,black2,l,1,1208,p100
2,black5,l,1,970,p100
2,white1,a,1,709,p100
2,black1,l,1,721,p100
2,white2,a,1,839,p100
2,white5,a,1,1006,p100
2,black4,l,1,583,p100
2,white3,a,1,1106,p100
2,white4,a,1,1167,p100
2,black3,l,1,498,p100
3,evil,l,1,3665,p100
3,white2,a,1,4540,p100
3,love,a,1,1117,p100
3,hurt,l,1,1092,p100
3,white1,a,1,1416,p100
3,bad,l,1,1041,p100
3,good,a,1,714,p100
3,pleasure,a,1,734,p100
3,black1,l,1,746,p100
3,white3,a,1,535,p100
3,agony,l,1,940,p100
3,joy,a,1,623,p100
3,happy,a,1,672,p100
3,black2,l,1,551,p100
3,black3,l,1,655,p100
3,white5,a,1,1371,p100
3,white4,a,1,773,p100
3,black5,l,1,534,p100
3,nasty,l,1,937,p100
3,black4,l,1,798,p100
4,black5,a,1,2475,p100
4,white5,l,1,699,p100
4,black4,a,1,966,p100
4,black3,a,1,729,p100
4,white2,l,1,621,p100
4,black2,a,1,903,p100
4,white4,l,1,860,p100
4,white1,l,1,603,p100
4,white3,l,1,660,p100
4,black1,a,1,485,p100
5,nasty,l,1,1341,p100
5,bad,l,1,1081,p100
5,black4,a,1,1015,p100
5,evil,l,1,879,p100
5,love,a,1,808,p100
5,pleasure,a,1,872,p100
5,agony,l,1,592,p100
5,hurt,l,1,849,p100
5,white4,l,1,857,p100
5,happy,a,1,552,p100
5,white3,l,1,924,p100
5,black1,a,1,728,p100
5,good,a,1,821,p100
5,white1,l,1,638,p100
5,joy,a,1,823,p100
5,black3,l,0,662,p100
5,white5,l,1,1375,p100
5,black2,a,1,2089,p100
5,black5,a,1,756,p100
5,white2,l,1,577,p100
1,good,a,1,5127,p101
1,joy,a,1,919,p101
1,love,a,1,599,p101
1,bad,l,1,672,p101
1,nasty,l,1,832,p101
1,happy,a,1,608,p101
1,evil,l,1,651,p101
1,hurt,l,1,714,p101
1,pleasure,a,1,663,p101
1,agony,l,1,704,p101
2,white3,a,1,9958,p101
2,white4,a,1,4039,p101
2,black4,l,1,1062,p101
2,white2,a,1,972,p101
2,black2,l,1,702,p101
2,black5,l,1,588,p101
2,black3,l,1,494,p101
2,white5,a,1,517,p101
2,black1,l,1,554,p101
2,white1,a,1,572,p101
3,love,a,1,8536,p101
3,black4,l,1,869,p101
3,bad,l,1,619,p101
3,white5,a,1,597,p101
3,good,a,1,579,p101
3,hurt,l,1,553,p101
3,black5,l,1,548,p101
3,evil,l,1,600,p101
3,white2,a,1,538,p101
3,white4,a,1,599,p101
3,black1,l,1,510,p101
3,black2,l,1,404,p101
3,nasty,l,1,600,p101
3,black3,l,1,456,p101
3,pleasure,a,1,793,p101
3,agony,l,1,884,p101
3,white3,a,1,667,p101
3,happy,a,1,683,p101
3,joy,a,1,938,p101
3,white1,a,1,565,p101
4,black1,a,1,820,p101
4,white2,l,1,509,p101
4,black5,a,1,507,p101
4,white1,l,1,680,p101
4,black2,a,1,631,p101
4,white5,l,1,527,p101
4,white3,l,1,557,p101
4,black3,a,1,905,p101
4,white4,l,1,533,p101
4,black4,a,1,377,p101
5,hurt,l,1,1068,p101
5,bad,l,1,538,p101
5,black4,a,1,991,p101
5,agony,a,0,1353,p101
5,black3,a,1,660,p101
5,white2,l,1,722,p101
5,evil,l,1,544,p101
5,white4,a,0,540,p101
5,joy,a,1,1400,p101
5,love,a,1,1258,p101
5,black1,a,1,823,p101
5,nasty,l,1,810,p101
5,pleasure,a,1,923,p101
5,white3,l,1,800,p101
5,black2,a,1,777,p101
5,white1,l,1,797,p101
5,black5,a,1,1451,p101
5,good,a,1,772,p101
5,happy,a,1,461,p101
5,white5,l,1,525,p101
1,nasty,l,1,4201,p102
1,bad,l,1,1120,p102
1,love,a,1,1010,p102
1,evil,l,1,872,p102
1,happy,a,1,872,p102
1,good,a,1,729,p102
1,hurt,l,1,1095,p102
1,agony,l,1,2188,p102
1,joy,a,1,836,p102
1,pleasure,a,1,709,p102
2,white4,a,1,4391,p102
2,white1,a,1,2582,p102
2,white2,l,0,1481,p102
2,white5,l,0,1964,p102
2,black4,l,1,1055,p102
2,black1,l,1,1637,p102
2,black3,l,1,925,p102
2,black2,l,1,1387,p102
2,black5,l,1,715,p102
2,white3,a,1,792,p102
3,white5,a,1,1370,p102
3,happy,a,1,1510,p102
3,white2,a,1,6899,p102
3,pleasure,a,1,777,p102
3,white4,a,1,886,p102
3,nasty,l,1,1116,p102
3,black4,l,1,897,p102
3,joy,a,1,1672,p102
3,evil,l,1,754,p102
3,black5,l,1,1134,p102
3,white1,a,1,799,p102
3,bad,l,1,1886,p102
3,hurt,l,1,1915,p102
3,agony,l,1,952,p102
3,white3,a,1,649,p102
3,good,a,1,1170,p102
3,love,a,1,670,p102
3,black3,l,1,756,p102
3,black2,l,1,570,p102
3,black1,l,1,517,p102
4,white2,a,0,700,p102
4,black4,a,1,3785,p102
4,white4,l,1,2090,p102
4,black3,a,1,2326,p102
4,white3,l,1,1674,p102
4,white5,l,1,1119,p102
4,white1,l,1,1330,p102
4,black2,a,1,990,p102
4,black5,a,1,1451,p102
4,black1,a,1,800,p102
5,pleasure,a,1,8922,p102
5,nasty,l,1,2176,p102
5,bad,l,1,1160,p102
5,white4,l,1,4981,p102
5,white1,l,1,1731,p102
5,evil,l,1,5914,p102
5,white2,l,1,8070,p102
5,hurt,l,1,2545,p102
5,black2,a,1,2603,p102
5,black4,a,1,1004,p102
5,white5,l,1,893,p102
5,black5,a,1,811,p102
5,good,a,1,1884,p102
5,happy,a,1,1594,p102
5,white3,l,1,1403,p102
5,black3,a,1,1155,p102
5,love,a,1,1367,p102
5,agony,l,1,1105,p102
5,joy,a,1,1422,p102
5,black1,a,1,1214,p102
1,happy,a,1,1447,p103
1,agony,l,1,754,p103
1,hurt,l,1,456,p103
1,nasty,l,1,464,p103
1,good,a,1,416,p103
1,love,a,1,458,p103
1,pleasure,a,1,490,p103
1,evil,l,1,519,p103
1,bad,l,1,405,p103
1,joy,a,1,414,p103
2,black2,l,1,1524,p103
2,black3,l,1,1399,p103
2,black1,l,1,837,p103
2,white3,a,1,2674,p103
2,white4,a,1,1662,p103
2,white2,a,1,1131,p103
2,black5,l,1,719,p103
2,white5,a,1,1292,p103
2,black4,l,1,815,p103
2,white1,a,1,1299,p103
3,agony,l,1,1059,p103
3,nasty,l,1,600,p103
3,hurt,l,1,473,p103
3,joy,a,1,539,p103
3,white5,a,1,1247,p103
3,black4,l,1,678,p103
3,bad,l,1,614,p103
3,black3,l,1,895,p103
3,happy,a,1,565,p103
3,good,a,1,400,p103
3,black1,l,1,1059,p103
3,love,a,1,658,p103
3,black2,l,1,1666,p103
3,white4,a,1,816,p103
3,pleasure,a,1,1370,p103
3,white3,a,1,960,p103
3,black5,l,1,775,p103
3,white2,a,1,906,p103
3,white1,a,1,1057,p103
3,evil,l,1,751,p103
4,white3,l,1,3442,p103
4,black4,a,1,1383,p103
4,black5,a,1,849,p103
4,black1,a,1,617,p103
4,white2,l,1,703,p103
4,white5,l,1,492,p103
4,white4,l,1,462,p103
4,black3,a,1,509,p103
4,white1,l,1,594,p103
4,black2,a,1,725,p103
5,black4,a,1,625,p103
5,love,a,1,881,p103
5,black5,a,1,382,p103
5,white1,l,1,506,p103
5,nasty,l,1,609,p103
5,white5,l,1,650,p103
5,white3,l,1,440,p103
5,good,a,1,673,p103
5,white4,l,1,696,p103
5,black3,a,1,518,p103
5,evil,l,1,491,p103
5,agony,l,1,529,p103
5,happy,a,1,437,p103
5,joy,a,1,526,p103
5,pleasure,a,1,347,p103
5,black1,a,1,399,p103
5,white2,a,0,359,p103
5,black2,a,1,847,p103
5,hurt,l,1,1229,p103
5,bad,l,1,1310,p103
1,bad,l,1,2613,p104
1,good,a,1,1316,p104
1,pleasure,a,1,1033,p104
1,nasty,l,1,856,p104
1,evil,l,1,849,p104
1,happy,a,1,800,p104
1,joy,a,1,776,p104
1,love,a,1,869,p104
1,hurt,l,1,837,p104
1,agony,l,1,852,p104
2,white1,a,1,1189,p104
2,black2,l,1,950,p104
2,black3,l,1,815,p104
2,white2,a,1,843,p104
2,black5,l,1,792,p104
2,white5,a,1,756,p104
2,white4,a,1,654,p104
2,black1,l,1,630,p104
2,white3,a,1,678,p104
2,black4,l,1,532,p104
3,white1,a,1,946,p104
3,white5,a,1,1214,p104
3,white3,a,1,706,p104
3,joy,l,0,2311,p104
3,black3,l,1,1061,p104
3,love,a,1,1441,p104
3,white4,a,1,968,p104
3,black2,l,1,979,p104
3,white2,a,1,686,p104
3,pleasure,a,1,923,p104
3,bad,l,1,799,p104
3,good,a,1,737,p104
3,black5,l,1,766,p104
3,nasty,a,0,962,p104
3,hurt,l,1,850,p104
3,evil,l,1,580,p104
3,happy,a,1,645,p104
3,agony,l,1,812,p104
3,black1,l,1,775,p104
3,black4,l,1,557,p104
4,black1,a,1,633,p104
4,white5,l,1,664,p104
4,white1,l,1,583,p104
4,black5,a,1,508,p104
4,black4,a,1,488,p104
4,black3,a,1,464,p104
4,white3,l,1,511,p104
4,white2,l,1,516,p104
4,white4,l,1,440,p104
4,black2,a,1,441,p104
5,agony,l,1,962,p104
5,black3,a,1,616,p104
5,white1,l,1,465,p104
5,white3,l,1,440,p104
5,black1,a,1,497,p104
5,pleasure,a,1,693,p104
5,love,a,1,554,p104
5,good,a,1,399,p104
5,nasty,l,1,408,p104
5,hurt,l,1,460,p104
5,white5,l,1,682,p104
5,black4,a,1,545,p104
5,white4,l,1,571,p104
5,black5,a,1,565,p104
5,bad,l,1,649,p104
5,evil,l,1,657,p104
5,black2,a,1,639,p104
5,happy,a,1,842,p104
5,white2,l,1,681,p104
5,joy,a,1,682,p104
